      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1,20S,2 ****
2018-11-22 13:25:03,      0,      19.37,           0,       -nan,        0.00,        0.00,        0.00,       0,      68
**** 10,20S,2 ****
2018-11-22 13:25:45,   2389,      19.25,         248,       0.06,      124.10,       12.88,        7.02,    2389,       0
**** 20,20S,2 ****
2018-11-22 13:26:27,   2356,      19.13,         244,       0.13,      123.16,       12.75,       15.59,    2356,       0
**** 30,20S,2 ****
2018-11-22 13:27:09,   2359,      19.01,         245,       0.19,      124.09,       12.89,       23.63,    2359,       0
**** 40,20S,2 ****
2018-11-22 13:27:52,   2477,      19.89,         257,       0.14,      124.53,       12.92,       17.93,    2477,       0
**** 50,20S,2 ****
2018-11-22 13:28:34,   2463,      19.78,         256,       0.15,      124.52,       12.94,       18.12,    2463,       0
**** 100,20S,2 ****
2018-11-22 13:29:16,   2427,      19.66,         251,       0.22,      123.45,       12.77,       26.88,    2427,       0
**** 150,20S,2 ****
2018-11-22 13:29:58,   2439,      19.54,         254,       0.17,      124.82,       13.00,       21.77,    2439,       0
**** 200,20S,2 ****
2018-11-22 13:30:40,   2419,      19.42,         251,       0.22,      124.56,       12.92,       26.89,    2419,       0
**** 250,20S,2 ****
2018-11-22 13:31:22,   2403,      19.30,         250,       0.24,      124.51,       12.95,       30.31,    2403,       0
