      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1,20S,2 ****
2018-11-22 13:31:46,    700,      19.28,          72,       0.00,       36.31,        3.73,        0.04,     700,       0
**** 10,20S,2 ****
2018-11-22 13:32:30,   7590,      19.26,         786,       0.00,      394.08,       40.81,        0.32,    7590,       0
**** 20,20S,2 ****
2018-11-22 13:33:14,  15320,      19.24,        1587,       0.00,      796.26,       82.48,        0.66,   15320,       0
**** 30,20S,2 ****
2018-11-22 13:33:58,  22310,      19.22,        2311,       0.00,     1160.77,      120.24,        1.11,   22310,       0
**** 40,20S,2 ****
2018-11-22 13:34:42,  21890,      19.21,        2268,       0.01,     1139.51,      118.06,       12.08,   21890,       0
**** 50,20S,2 ****
2018-11-22 13:35:26,  24872,      19.19,        2577,       0.01,     1296.09,      134.29,       17.42,   24872,       0
**** 100,20S,2 ****
2018-11-22 13:36:10,  19699,      19.17,        2055,       0.07,     1027.60,      107.20,       73.80,   19699,       0
**** 150,20S,2 ****
2018-11-22 13:36:54,  22745,      19.15,        2367,       0.10,     1187.73,      123.60,      120.47,   22745,       0
**** 200,20S,2 ****
2018-11-22 13:37:38,  19874,      19.12,        2077,       0.17,     1039.44,      108.63,      171.67,   19874,       0
**** 250,20S,2 ****
2018-11-22 13:38:22,  22467,      19.09,        2347,       0.19,     1176.90,      122.94,      218.74,   22467,       0
