      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1,20S,2 ****
2018-11-22 12:11:30,    600,      19.76,          62,       0.01,       30.36,        3.14,        0.29,     600,       0
**** 10,20S,2 ****
2018-11-22 12:12:12,   4564,      19.64,         473,       0.02,      232.38,       24.08,        4.13,    4564,       0
**** 20,20S,2 ****
2018-11-22 12:12:54,   5295,      19.50,         549,       0.05,      271.54,       28.15,       13.24,    5295,       0
**** 30,20S,2 ****
2018-11-22 12:13:36,   4979,      19.41,         519,       0.09,      256.52,       26.74,       23.89,    4979,       0
**** 40,20S,2 ****
2018-11-22 12:14:18,   4815,      19.25,         501,       0.13,      250.13,       26.03,       33.69,    4815,       0
**** 50,20S,2 ****
2018-11-22 12:15:00,   4652,      19.13,         485,       0.18,      243.18,       25.35,       44.10,    4652,       0
**** 100,20S,2 ****
2018-11-22 12:15:42,   3915,      19.00,         413,       0.45,      206.05,       21.74,       93.67,    3915,       0
**** 150,20S,2 ****
2018-11-22 12:16:25,   3773,      19.85,         399,       0.75,      190.08,       20.10,      142.82,    3773,       0
**** 200,20S,2 ****
2018-11-22 12:17:07,   3465,      19.73,         369,       0.91,      175.62,       18.70,      159.08,    3465,       0
**** 250,20S,2 ****
2018-11-22 12:17:49,   3637,      19.61,         398,       0.97,      185.47,       20.30,      179.25,    3637,       0
