threads;2
Usuários;Trans Rate
1;11,55;
10;111,84;
20;227,44;
30;328,73;
40;437,75;
50;471,17;
100;442,61;
150;501,06;
200;498,03;
250;412,58;

threads;4
Usuários;Trans Rate
1;11,67;
10;116,00;
20;224,39;
30;339,68;
40;448,51;
50;482,74;
100;608,48;
150;594,44;
200;463,19;
250;528,90;

threads;8
Usuários;Trans Rate
1;11,72;
10;111,84;
20;231,11;
30;335,36;
40;447,78;
50;467,98;
100;625,25;
150;652,64;
200;445,88;
250;480,30;

threads;16
Usuários;Trans Rate
1;12,44;
10;111,46;
20;220,53;
30;301,88;
40;273,30;
50;272,33;
100;270,94;
150;656,71;
200;266,67;
250;380,47;

threads;32
Usuários;Trans Rate
1;11,79;
10;109,64;
20;220,21;
30;227,16;
40;239,51;
50;290,40;
100;625,42;
150;362,19;
200;539,64;
250;538,41;

threads;64
Usuários;Trans Rate
1;11,30;
10;111,74;
20;220,09;
30;221,73;
40;298,83;
50;425,95;
100;499,70;
150;230,73;
200;541,84;
250;384,95;

threads;128
Usuários;Trans Rate
1;11,34;
10;112,75;
20;220,15;
30;206,09;
40;367,57;
50;379,00;
100;205,09;
150;420,96;
200;493,70;
250;447,27;

threads;256
Usuários;Trans Rate
1;11,57;
10;108,66;
20;205,74;
30;163,97;
40;305,44;
50;291,34;
100;352,93;
150;317,08;
200;293,48;
250;161,95;

threads;512
Usuários;Trans Rate
1;10,23;
10;105,44;
20;185,40;
30;220,55;
40;126,65;
50;124,99;
100;204,98;
150;264,12;
200;259,91;
250;124,77;

threads;1024
Usuários;Trans Rate
1;11,17;
10;92,48;
20;137,93;
30;154,86;
40;153,50;
50;80,18;
100;158,24;
150;150,56;
200;156,53;
250;80,24;

