      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1,20S,128 ****
2018-11-22 03:15:14,    225,      19.36,          13,       0.01,       11.62,        0.67,        0.08,     225,       0
**** 10,20S,128 ****
2018-11-22 03:15:34,   2181,      19.86,         128,       0.01,      109.82,        6.45,        1.03,    2181,       0
**** 20,20S,128 ****
2018-11-22 03:15:54,   4053,      19.86,         239,       0.02,      204.08,       12.03,        3.35,    4053,       0
**** 30,20S,128 ****
2018-11-22 03:16:14,   4873,      19.86,         287,       0.04,      245.37,       14.45,        9.50,    4873,       0
**** 40,20S,128 ****
2018-11-22 03:16:34,   4999,      19.86,         295,       0.07,      251.71,       14.85,       17.42,    4999,       0
**** 50,20S,128 ****
2018-11-22 03:16:54,   5165,      19.87,         305,       0.09,      259.94,       15.35,       23.57,    5165,       0
**** 100,20S,128 ****
2018-11-22 03:17:14,   5144,      19.87,         303,       0.14,      258.88,       15.25,       35.69,    5144,       0
**** 150,20S,128 ****
2018-11-22 03:17:34,   5215,      19.86,         308,       0.14,      262.59,       15.51,       37.74,    5215,       0
**** 200,20S,128 ****
2018-11-22 03:17:54,   5305,      19.87,         313,       0.19,      266.99,       15.75,       50.77,    5305,       0
**** 250,20S,128 ****
2018-11-22 03:18:14,   5242,      19.86,         309,       0.19,      263.95,       15.56,       50.52,    5242,       0
