      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1,20S,2 ****
2018-11-22 00:37:08,    231,      19.70,          13,       0.01,       11.73,        0.66,        0.08,     231,       0
**** 10,20S,2 ****
2018-11-22 00:37:28,   2160,      19.86,         127,       0.01,      108.76,        6.39,        0.97,    2160,       0
**** 20,20S,2 ****
2018-11-22 00:37:48,   3944,      19.86,         233,       0.02,      198.59,       11.73,        3.31,    3944,       0
**** 30,20S,2 ****
2018-11-22 00:38:08,   4745,      19.88,         280,       0.04,      238.68,       14.08,       10.07,    4745,       0
**** 40,20S,2 ****
2018-11-22 00:38:28,   4766,      19.84,         281,       0.08,      240.22,       14.16,       19.26,    4766,       0
**** 50,20S,2 ****
2018-11-22 00:38:48,   4844,      19.84,         286,       0.12,      244.15,       14.42,       28.51,    4844,       0
**** 100,20S,2 ****
2018-11-22 00:39:08,   5115,      19.82,         302,       0.17,      258.07,       15.24,       43.50,    5115,       0
**** 150,20S,2 ****
2018-11-22 00:39:28,   3073,      19.84,         181,       0.23,      154.89,        9.12,       36.05,    3073,       0
**** 200,20S,2 ****
2018-11-22 00:39:48,   4646,      19.81,         274,       0.21,      234.53,       13.83,       49.79,    4646,       0
**** 250,20S,2 ****
2018-11-22 00:40:08,   4677,      19.82,         276,       0.29,      235.97,       13.93,       68.30,    4677,       0
