      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1,20S,128 ****
2018-11-22 03:18:36,    249,      19.96,          14,       0.00,       12.47,        0.70,        0.01,     249,       0
**** 10,20S,128 ****
2018-11-22 03:18:58,   2376,      19.96,         140,       0.00,      119.04,        7.01,        0.10,    2376,       0
**** 20,20S,128 ****
2018-11-22 03:19:20,   4749,      19.97,         280,       0.00,      237.81,       14.02,        0.20,    4749,       0
**** 30,20S,128 ****
2018-11-22 03:19:42,   7245,      19.98,         427,       0.00,      362.61,       21.37,        0.31,    7245,       0
**** 40,20S,128 ****
2018-11-22 03:20:04,   9630,      19.98,         568,       0.00,      481.98,       28.43,        0.43,    9630,       0
**** 50,20S,128 ****
2018-11-22 03:20:26,  11928,      19.96,         704,       0.00,      597.60,       35.27,        0.55,   11928,       0
**** 100,20S,128 ****
2018-11-22 03:20:48,  23874,      19.98,        1410,       0.00,     1194.89,       70.57,        1.51,   23874,       0
**** 150,20S,128 ****
2018-11-22 11:15:45,  21445,      19.90,        1266,       0.06,     1077.64,       63.62,       59.35,   21445,       0
**** 200,20S,128 ****
2018-11-22 11:09:36,  24882,      19.04,        1468,       0.07,     1306.83,       77.10,       89.49,   24882,       0
**** 250,20S,128 ****
2018-11-22 11:09:58,  12883,      19.95,         760,       0.29,      645.76,       38.10,      188.89,   12883,       0
