      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** 1,20S,2 ****
2018-11-22 00:40:28,    207,      19.81,          12,       0.01,       10.45,        0.61,        0.07,     207,       0
**** 10,20S,2 ****
2018-11-22 00:40:48,   2240,      19.84,         132,       0.01,      112.90,        6.65,        0.65,    2240,       0
**** 20,20S,2 ****
2018-11-22 00:41:08,   4614,      19.84,         272,       0.01,      232.56,       13.71,        1.46,    4614,       0
**** 30,20S,2 ****
2018-11-22 00:41:28,   6472,      19.85,         382,       0.01,      326.05,       19.24,        2.83,    6472,       0
**** 40,20S,2 ****
2018-11-22 00:41:48,   8688,      19.84,         513,       0.01,      437.90,       25.86,        4.17,    8688,       0
**** 50,20S,2 ****
2018-11-22 00:42:08,   8741,      19.85,         516,       0.03,      440.35,       25.99,       13.25,    8741,       0
**** 100,20S,2 ****
2018-11-22 00:42:28,   9904,      19.84,         585,       0.11,      499.19,       29.49,       56.86,    9904,       0
**** 150,20S,2 ****
2018-11-22 00:42:48,   9107,      19.82,         538,       0.20,      459.49,       27.14,       92.96,    9107,       0
**** 200,20S,2 ****
2018-11-22 00:43:08,   6952,      19.75,         410,       0.47,      352.00,       20.76,      166.43,    6952,       0
**** 250,20S,2 ****
2018-11-22 00:43:28,   7196,      19.78,         425,       0.59,      363.80,       21.49,      215.40,    7196,       0
